psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
,1,1,36,1,S,2,1,2,2,2,2,2,3,1,2,2,1,2,2,3,1,1,1,1,2,2,2,2,2,2,1,2, ,1,2,2,2,1,4, ,2,0, ,1, ,1, , ,4,4,2,4,4,4,4,4,4,4,1,4,3,2,2,2,2, , ,2,3,2,2,2,2, , ,1,1,1,2,2, , ,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,2,2,6,1,2, ,1,6, ,2, , ,14624,2.59375,.847976922420632
100019,1,1,12,3,S,2,2,3,3,2,3,3,3,2,3,3,2,3,3,1,2,2, ,1, , , , , , , , , ,1,2,2,2,2, , , , , , , , , , ,2,1,1,4,4,4,4,4,4,4,4,4,2,2,1,2,3, , , ,4,2,8,2,2, , , ,2,8,5,8, , ,2,3,1,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80,3,5,3,3,2, ,1,3, ,3, , ,34471,2.6875,.878626690700895
100035,1,1,36,1,S,1,2,3,1,1,2,2,2,2,1,2,2,2,4,2,2,2, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , ,9,4,9,4,4, , ,4,4,4,9,4, , ,3,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33,2,1,3,4,1,1,1,3,2, , , ,13126,5.40625,1.76746997082855
100040,1,1,21,3,R,2,2,3,1,2,2,3,2,1,1,4,1,1,2,4,1,2,1,1,2,2,2,1,2,1, , , ,1,2,2,2,2, , , , , ,50, ,25, , ,1,2,1,1,2,4,4,4,2,4,1,2,4,3,4,3,4,4, ,4,2,4,3,3,2,4, ,1,2,2,3,2,3, ,3,3,2,4,3, , ,6, ,4,200,2, , ,6,4,4,4,4,2,1,1,2,1,1,3,2,2,3,2, ,2,3,3,2,41,2,4,4,1,2, ,1,99, ,2, , ,40353,4.0625,1.3281566254781
100041,1,1,34,1,S,2,2,3,5,2,3,3,2,3,2,2,2,2,2,3,2,2, ,2, , , , , , , , , ,1,8,2,2,2, , , , , , , , , , ,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,3,4, , , ,3,4,4,4,4, , , ,2,2,5,2, , ,3,3,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,1,4,5,3,2, ,1,3, ,3, , ,07026,1.4375,.469963113630712
100044,1,1,45,3,S,1,2,5,5,2,2,2,9,1,3,3,1,3,1,1,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,4,4,4,4,4,4,4,4,4,4,4,8,2,2,2,3, , , ,4,2,8,8,1, , , ,4,1,5,8, , ,3,2,1,8,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76,2,5,3,3,2, ,1,2,1,1, , ,29329,4.5625,1.49162205630617
100047,1,1,42,1,S,2,2,3,5,1,3,4,3,1,1,3,2,1,3,3,2,2, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,4,4,4,1,4,1,1,4,4,2,2,2,2, , , ,1,2,2,2,4, , , ,2,2,5,8, , ,2,4,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,72,2,4,1,3,2, ,1,2,1,3, , ,16510,5.46875,1.78790314968205
100053,1,1,24,3,S,2,1,5,1,1,2,4,4,1,2,3,1,2,3,3,1,2,1,2,2,2,2,2,2,1, , , ,1,2,2,2,2, , , , , ,10, ,5, , ,4,2,4,4,4,4,4,4,4,4,1,2,1,1,3,1,9,2, ,2,4,1,1,3,3,2, ,3,8,9,5,9,9, ,4,3,3,4,3, , , , ,2,40,2, , ,7,2,7,4,7,1,2,2,3,3,1,2,1,1,2,9,9,8,9,1,3,76,2,5,1,3,2, ,1,2, ,2, , ,20601,2.34375,.766244207006595
100063,1,1,24,3,U,2,2,3,1,2,3,4,3,1,4,4,1,1,4,4,1,2,1,2,2,2,2,2,2,2,2, , ,1,2,2,2,1,0, ,0,0, ,2, ,1, , ,4,4,4,1,4,4,1,4,4,4,4,4,4,4,1,2,1, , ,3,1,2,2,2,2, , ,1,1,1,5,8, , ,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65,2,5,6,3,2, ,1,6, ,3, , ,21702,1.15625,.37801380878992
100066,1,1,34,1,S,1,2,1,1,1,3,2,2,1,1,2,2,1,2,3,1,1,1,1,2,1,2,2,2,1, , , ,1,1,1,1,1,7, ,5,3, ,20, ,10,5, ,4,4,2,1,4,2,1,4,1,2,4,4,1,2,1,2,4,4, ,2,3,1,1,1,3,1, ,3,3,2,1,1,2, ,3,3,1,3,3, , , , ,2,300,2, , ,5,1,1,1,5,2,1,1,1,2,2,2,3,2,3,3,3,3,3,3,3,50,2,4,8,2,2, ,1,9, ,2, , ,07043,2.75,.899059869554405
100077,1,1,26,2,S,2,2,4,5,2,3,3,2,1,1,3,4,2,3,3,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,2,4,4,4,4,4,4,4,4,4,4,4,2,3,1,1,2, , , ,2,2,8,4,2, , , ,1,1,5,8, , ,4,2,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90,1,5,3,3,2, ,1,3,2, , , ,48604,2.59375,.847976922420632
100079,1,1,29,2,U,2,1,1,1,2,4,4,4,4,1,4,1,1,4,4,1,1,1,2,2,1,2,2,2,2,1,1,6,1,1,1,1,1,999,1,0,0, ,1, ,1,0, ,4,4,4,4,4,4,4,4,4,4,4,2,3,2,4,3,4, , ,1,2,3,4,1,1, , ,2,2,2,2,2, , ,3,2,1,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69,2,2,6,3,2, ,1,6, ,2, , ,65203,1.125,.367797219363166
100084,1,1,36,1,S,2,1,3,1,1,2,2,2,1,1,3,2,1,2,3,1,2,1,2,2,1,2,1,1,1, , , ,1,1,2,1,1,4, ,2,0, ,40, ,5,4, ,1,1,1,1,2,1,4,4,1,1,4,1,1,1,4,2,4,2, ,1,4,1,1,2,1,1, ,2,2,4,1,2,2, ,4,4,4,4,4, , ,5,4,1,1100,2, , ,3,7,3,2,1,2,2,1,2,3,2,2,2,2,3,3,2,3,3,3,2,56,2,4,6,1,2, ,1,8, ,2, , ,10590,2.21875,.725377849299576
100092,1,1,40,3,R,1,1,4,3,2,4,4,3,1,2,4,1,1,4,3,1,1,1,1,2,2,2,2,2,2,2, , ,1,1,1,1,1,20, ,4,0, ,0, , , , ,4,2,4,1,1,1,4,4,4,1,4,4,2,3,4,1,4, , ,1,3,1,9,1,1, , , ,1,1,5,8, , ,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69,1,5,6,3,2, ,1,2, ,2, , ,74859,1,.326930861656147
100094,1,1,34,1,S,2,1,3,1,1,3,2,2,1,2,3,2,1,3,3,1,1,1,2,2,1,2,2,1,2,1,1,4,1,1,1,1,1,10, ,3,1, ,100, ,20,1, ,2,4,1,4,4,1,4,4,4,4,4,4,1,2,1,2,4, , ,1,2,2,2,2,2, , ,2,2,2,2,2, , ,3,2,2,3,2, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,50,2,4,6,1,2, ,1,8, ,2, , ,07751,2.6875,.878626690700895
100099,1,1,36,1,S,2,1,1,1,2,3,4,3,1,1,4,1,1,4,4,1,1,1,1,2,2,2,2,1,2,2, , ,1,1,1,1,1,1, ,1,0, ,50, ,25, , ,2,1,4,2,4,2,2,4,2,2,2,1,1,1,3,1,3, , ,2,8,1,9,1,1, , ,2,8,2,8,8, , ,4,4,3,4,3, , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,48,2,2,8,1,2, ,1,9, ,1, , ,12043,2.0625,.674294902165803
100101,1,1,17,2,S,1,2,1,1,1,2,2,2,1,1,2,1,1,4,2,1,1,1,2,2,1,2,2,2,1, , , ,1,1,1,1,1,5, ,2,0, ,2, ,2,998,2,1,4,4,4,4,2,4,4,4,4,4,2,4,4,4,2,2,2, ,4,9,4,2,2,2,4, ,3,3,4,4,8,4, ,4,3,3,3,3, , , , ,2,50,2, , ,7,6,7,7,4,2,1,3,2,3,1,3,3,2,3,1,1,1,3,2,2,42,2,4,6,4,2, ,1,6, ,1, , ,62002,3.125,1.02165894267546
100107,1,1,42,1,S,1,2,3,1,1,1,2,2,1,2,3,1,1,2,4,1,1,1,1,2,1,2,1,2,1, , , ,1,2,2,2,1,0, ,0,0, ,0, , ,5, ,2,2,4,2,4,1,1,4,2,1,2,1,3,3,4,2,4,3, ,3,4,2,4,2,3,4, ,1,1,1,2,2,2, ,3,2,1,2,2, , ,3, ,1,530,2, , ,2,1,4,2,2,1,2,1,2,2,2,2,2,3,2,3,3,3,3,3,3,48,3,1,8,2,2, ,1,3, ,2, , ,15904,2.84375,.929709637834668
100112,1,1,21,3,R,1,1,4,1,2,1,3,1,2,8,2,1,2,1,1,2,2, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,1,1,1,4,4,1,1,1,2,4,1,1,3,2,2,3, , , ,8,2,2,2,2, , ,1,8,1,5,1, , ,3,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55,4,4,6,3,2, ,5,4,1,3, , ,41528,3.8125,1.24642391006406
100114,1,1,17,2,R,1,1,4,1,2,1,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1, , , ,1,2,2,2,1,2, ,1,0, ,0, , , , ,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,3,3, ,4,4,1,2,2,2,4, ,1,8,1,1,8,4, ,4,4,4,4,4, , , , ,5,20,2, , ,7,5,7,7,7,2,3,2,1,3,2,3,2,3,3,3, ,3,3,3,3,55,2,1,2,3,2, ,1,3, ,1, , ,62650,2.90625,.950142816688178
100115,1,1,55,2,R,2,2,4,5,2,1,2,1,2,1,2,2,3,1,2,1,2,1,1,2,1,2,2,2,1, , , ,1,2,2,2,2, , , , , ,30, ,10,2, ,4,4,4,1,4,1,2,4,1,2,1,1,2,2,2,3,1,2, ,1,4,1,4,4,4,1, , ,2,2,5,2,2, ,2,2,1,3,2, , , , ,1,80,2, , ,6,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1, ,1,3,1,1,65,1,3,3,3,2, ,1,4, ,3, , ,54656,1.1875,.388230398216675
100116,1,1,1,3,R,1,2,3,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1, , , ,1,1,1,1,1,50, ,4,0, ,1, ,1, , ,1,1,2,1,1,1,1,4,1,4,1,4,2,2,2,2,2,4, ,4,4,2,2,3,2,4, ,2,2,1,1,1,1, ,2,4,4,2,1, , , , ,4,150,2, , ,7,2,7,7,6,2,3,3,2,1,1,3,3,1,1,1, ,1,3,1,1,40,3,4,4,4,2, ,1,5, ,1, , ,35564,4.53125,1.48140546687942
100125,1,1,36,1,S,2,1,1,1,1,2,3,2,1,1,3,1,1,3,4,1,1,1,2,1,1,2,2,1,1, , , ,1,1,1,1,1,50, ,5,1, ,100, ,25,20, ,3,2,4,4,4,3,4,2,3,3,3,3,1,2,4,1,2,2,4,1,4,2,3,2,2,2,2,2,1,3,8,2,1,2,2,1,1,2,2,4, , ,4,1,600,2, , ,4,1,1,1,4,1,1,1,1,1,1,2,2,2,3,1,2,1,3,3,3,40,2,4,8,1,2, ,1,9, ,1, , ,10566,3.21875,1.05230871095572
100131,1,1,1,3,S,2,1,1,1,2,2,4,1,1,1,4,1,1,2,4,1,1,1,1,2,1,1,2,1,1, , , ,1,1,1,1,1,220, ,12,2, ,30, ,30,25, ,2,2,2,2,4,1,4,4,2,1,1,1,1,1,2,1,4,1, ,1,3,1,1,1,1,1, ,1,1,1,8,8,1, ,4,3,2,3,4, ,6, ,2,1,800,2, , ,7,1,1,1,3,2,1,3,1,3,2,2,1,3,3,3, ,2,3,3,3,57,2,3,6,1,2, ,1,8, ,1, , ,36067,1.28125,.418880166496938
100135,1,1,36,1,S,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,1, , , ,1,1,1,1,1,2, ,2,0, ,100, ,50,0, ,3,1,4,2,4,1,2,4,2,2,1,1,3,2,1,3,3,4, ,2,2,2,4,1,1,4, ,2,8,3,8,8,8, ,4,2,2,3,2, , , ,5,4,250,2, , ,6,5,5,5,5,2,1,2,2,3,3,3,3,3,3,2, ,2,3,3,3,60,2,2,8,1,2, ,1,9, ,1, , ,10509,2.6875,.878626690700895
100150,1,1,47,3,S,1,2,2,1,2,3,4,4,1,1,4,1,1,3,4,1,2,1,1,2,2,2,2,2,2,1,2, ,1,2,2,2,1,3, ,2,0, ,2, ,2, , ,4,2,4,4,4,4,4,4,4,2,4,4,3,3,2,2,4, , ,2,3,2,2,2,1, , ,2,2,2,2,8, , ,4,4,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,56,4,5,3,1,2, ,1,9, ,2, , ,37861,3.625,1.18512437350353
100160,1,1,30,4,R,1,1,3,1,2,4,4,2,1,3,4,1,1,4,4,2,2, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,1,4,4,2,4,1,4, , , ,4,2,2,2,2, , ,1,1,1,5,1, , ,4,4,2,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,73,3,3,5,3,2, ,1,3,1,3, , ,59859,3.09375,1.01144235324871
100163,1,1,17,2,R,2,1,1,1,2,3,3,3,1,2,3,1,1,3,3,2,2, ,1, , , , , , , , , ,1,2,2,2,2, , , , , , , , , , ,4,1,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4, , , ,2,2,2,3,2, , ,2,3,2,5,3, , ,4,4,2,9,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,71,2,5,4,3,2, ,1,4, ,3, , ,62476,1.25,.408663577070184
100173,1,1,39,2,S,2,2,3,1,2,3,3,3,1,1,4,1,2,2,3,1,2,1,1,2,1,2,2,2,2,2, , ,1,2,2,2,2, , , , , ,7, ,2,0, ,1,4,4,1,4,1,4,4,4,4,1,4,3,2,4,1,2, , ,4,3,2,2,2,3, , ,1,2,2,8,3, , ,3,2,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65,2,5,4,3,2, ,1,5, ,3, , ,44039,1.625,.531262650191239
100176,1,1,40,3,S,1,1,4,1,1,3,3,2,2,3,1,2,2,3,2,1,2,1,2,1,2,2,2,2,1, , , ,1,2,1,1,1,5, ,2,0, ,4, ,2, , ,1,4,1,1,4,1,1,1,1,1,4,1,1,2,4,1,2,4,4,2,4,3,2,4,2,4,4,1,2,2,1,2,2,2,3,4,4,4,2,3, , , ,1,300,2, , ,7,7,5,5,5,1,2,2,3,3,3,3,3,1,1,3,3,3,2,3,1,55,5,4,5,1,2, ,1,6, ,1, , ,73072,2.8125,.919493048407914
100179,1,1,48,3,U,1,2,3,6,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1, , , ,1,1,1,1,1,150, ,6,2, ,50, ,9,4, ,4,4,4,2,4,1,4,2,1,1,2,1,2,4,4,1,2,2,2,3,8,3,3,3,3,3,3, ,1,1,1,1,1,1,2,4,4,2,4,2,2, , ,2,500,2, , ,4,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,22,6,4,5,4,1,1,8,3, ,2, , ,78242,4.5625,1.49162205630617
100180,1,1,42,1,S,1,1,3,1,2,2,1,3,1,2,2,1,2,3,3,1,1,1,2,2,1,2,2,1,1, , , ,1,1,1,1,1,5, ,3,0, ,20, ,15,2, ,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,1,4,4, ,2,2,2,3,2,2,3, ,2,2,2,3,2,8, ,4,4,4,4,2, , , ,5,4,25,2, , ,6,6,6,6,6,1,1,2,2,3,3,3,3,2,2,3, ,2,3,3,3,67,2,5,8,1,2, ,3,7, ,2, , ,15905,1.65625,.541479239617994
100185,1,2,48,3,U,2,2,3,1,2,2,3,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,2,1, , , ,2, , , , , , , , , ,7, ,5,20, ,4,2,4,4,2,3,4,4,4,4,3,3,3,3,3,1,2,1,3,3,1,1,1,1,2,2,4,2,8,8,8,8,8,8,2,2,2,2,2,4, , , ,1,60,2, , ,6,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3, ,2,3,3,3,59,3,1,3,4,1,3,1,2,2, , , ,79903,6.40625,2.09440083248469
100187,1,1,1,3,U,2,1,1,3,2,4,3,3,1,1,3,1,1,3,4,1,1,1,2,1,2,2,2,2,1, , , ,1,1,1,1,1,5, ,3,1, ,50, ,50, , ,1,4,2,4,4,4,4,4,4,2,2,2,1,2,4,1,4,4,4,4,3,2,8,1,1,3,4, ,2,2,5,1,2,2,3,2,1,2,2,4, , , ,1,60,2, , ,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1, ,1,3,3,3,66,3,5,8,3,2, ,1,7, ,2, , ,36527,1.34375,.439313345350448
100188,1,1,48,3,S,2,2,4,1,2,3,1,1,2,2,2,2,2,3,2,1,2,1,2,2,2,2,2,2,2,1,2, ,1,2,2,2,1,0, ,0,0, ,5, ,0, , ,1,4,4,4,4,1,2,4,1,4,2,1,2,3,3,2,1, , ,4,3,2,1,3,2, , ,1,1,2,3,2, , ,4,4,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,2,3,3,2,2, ,1,6, ,2, , ,77044,3.28125,1.07274188980923
100192,1,1,8,4,S,1,2,3,1,2,2,1,1,1,2,1,2,4,1,1,1,2,1,2,2,2,2,2,2,1, , , ,2, , , , , , , , , ,998,1, , , ,4,4,4,1,4,1,1,4,4,4,1,1,1,1,1,3,1,4, ,4,4,1,4,1,1,1, ,2,1,2,5,8,8, ,4,2,1,1,2, , , , ,5,50,2, , ,7,6,7,6,7,3,1,3,3,3,3,3,3,3,3,3, ,3,3,3,3,62,2,3,5,6,2, ,1,8,1,2, , ,80504,3.28125,1.07274188980923
100195,1,1,8,4,S,1,2,1,3,2,3,3,3,2,1,8,3,3,3,3,2,2, ,2, , , , , , , , , ,1,8,2,2,2, , , , , , , , , , ,4,4,4,4,4,4,2,4,4,4,8,4,4,3,4,3,2, , , ,1,2,2,1,2, , , ,2,3,5,2, , ,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48,1,2,2,6,2, ,1,98, ,2, , ,81521,1.375,.449529934777202
100198,1,1,25,1,S,1,2,1,1,2,3,3,2,1,1,3,2,2,2,3,1,1,1,1,2,1,2,2,1,1, , , ,1,1,1,1,1,6, ,3,1, ,100, ,0,1, ,1,2,4,4,4,4,4,4,4,4,4,4,2,1,1,1,4,3, ,1,3,1,1,1,1,1, ,1,1,1,1,1,1, ,2,1,1,1,2, , , ,5,2,500,2, , ,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2, ,1,3,2,1,58,2,5,4,1,2, ,1,8, ,1, , ,02136,4.03125,1.31794003605134
100207,1,1,30,4,R,1,2,3,5,2,2,4,3,1,1,4,3,1,3,3,2,2, ,8, , , , , , , , , ,1,8,2,2,2, , , , , , , , , , ,1,2,4,4,1,4,4,4,1,1,4,1,3,2,3,2,2, , , ,3,2,2,2,2, , , ,2,2,2,3, , ,4,4,4,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85,6,2,4,3,2, ,1,1, ,1, , ,59036,1.53125,.500612881910975
100212,1,1,30,4,U,2,2,3,1,2,2,3,2,1,1,3,1,1,4,3,1,2,1,1,2,2,2,1,2,1, , , ,1,2,2,2,1,2, ,3,1, ,2, ,3, , ,1,2,4,1,4,1,1,4,1,1,1,1,1,2,3,4,2,4, ,1,4,2,2,2,1,8, ,1,1,1,1,1,9, ,3,3,3,3,4, , ,5, ,4,30,2, , ,6,5,6,5,5,1,1,1,2,2,2,2,2,1,1,2, ,1,3,2,1,55,6,5,8,2,2, ,1,5, ,2, , ,59922,1.6875,.551695829044748
100223,1,1,21,3,R,1,2,4,1,1,3,3,2,2,2,2,1,2,3,3,1,1,1,1,2,1,2,1,2,1, , , ,1,1,1,1,1,10, ,8,1, ,30, ,30,5, ,2,2,3,2,2,4,4,4,4,2,3,2,2,3,4,2,3,3, ,1,1,2,2,2,1,2, ,4,3,8,8,8,3, ,4,3,4,3,4, , ,2, ,1,1200,2, , ,4,1,2,2,2,1,1,1,1,3,2,2,1,1,1,1,1,3,1,1,1,42,2,4,6,1,2, ,1,7, ,2, , ,42602,2.09375,.684511491592558
100224,1,1,13,3,U,2,2,2,5,1,1,2,2,2,2,4,2,2,4,4,2,2, ,2, , , , , , , , , ,1,2,2,2,1,3, ,3,5, , , , , , ,4,1,4,4,1,4,4,4,4,4,4,4,4,2,4,1,4, , , ,2,2,3,2,2, , , ,2,1,1,1, , ,2,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58,3,2,2,3,2, ,2,2, ,2, , ,31404,3.90625,1.27707367834432
100229,1,1,8,4,R,2,2,3,5,2,4,4,3,1,1,4,1,1,3,3,1,2,1,1,2,2,2,2,1,2,2, , ,1,2,2,2,2, , , , , ,10, ,7, , ,1,2,4,1,4,1,4,4,2,2,3,1,2,2,2,2,2, , ,4,2,2,2,2,2, , , ,1,1,2,2, , ,4,4,3,3,4, , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,70,1,5,6,2,2, ,1,6, ,3, , ,81122,1,.326930861656147
100245,1,1,11,3,U,1,2,4,1,2,2,2,2,2,2,2,2,2,2,3,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,1,4,1,4,1,1,4,4,4,4,1,2,2,2,2,2, , , ,3,1,1,2,1, , ,8,2,2,2,2, , ,4,4,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77,2,5,6,3,2, ,2,6,1,3, , ,20012,2.28125,.745811028153086
100249,1,1,42,1,S,1,1,3,6,2,4,3,3,1,2,3,1,2,3,3,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4, , , ,2,2,2,2,2, , , ,2,8,8,8, , ,3,2,3,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68,1,5,6,3,2, ,1,1,2, , , ,18433,1.75,.572129007898258
100255,1,1,23,1,R,1,2,4,5,2,2,3,2,2,2,3,2,1,3,3,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,1,1,4,4,4,4,4,4,4,1,2,2,2,3,4,4,4, , , ,8,2,9,2,2, , , ,8,8,8,8, , ,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69,1,2,3,3,2, ,1,2,2, , , ,04862,3.25,1.06252530038248
100258,1,1,6,4,S,1,2,3,5,2,1,3,3,1,2,3,1,1,3,3,2,2, ,1, , , , , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,4,4, , , ,1,3,2,2,2, , , ,9,9,5,9, , ,3,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83,1,4,3,3,2, ,1,2,2, , , ,93653,1.96875,.64364513388554
100264,1,1,39,2,S,2,2,2,1,1,3,1,3,1,1,3,1,1,2,3,1,2,1,2,2,2,2,2,2,2,1,2, ,1,2,2,2,1,3, ,2,0, ,0, , , , ,4,4,2,2,4,4,4,4,4,4,2,4,3,3,4,4,4, , ,4,4,3,2,2,3, , ,3,2,2,2,2, , ,3,2,1,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43,2,4,7,1,2, ,1,5, ,2, , ,44641,2.84375,.929709637834668
100271,1,1,23,1,R,1,2,5,5,2,9,1,1,2,3,2,2,3,3,2,1,2,1,1,2,2,2,2,2,1, , , ,1,2,2,2,1,1, ,1,0, ,0, , , , ,1,4,4,4,4,4,4,4,4,4,1,4,3,2,4,1,2,4, ,4,9,9,9,9,2,9, , ,2,2,5,8,8, ,4,3,3,3,4, , , , ,4,34,2, , ,7,4,4,4,4,1,1,2,2,2,2,2,3,3,3,3, ,3,3,3,3,55,1,5,3,6,2, ,1,1, ,2, , ,04572,2.46875,.807110564713613
100274,1,1,20,2,R,1,2,3,5,2,2,3,3,2,2,2,2,2,3,3,2,2, ,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4, , , ,8,4,8,8,8, , , ,8,8,8,8, , ,8,2,1,3,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,84,1,5,2,3,8, ,1,99,2, , , ,67731,2.15625,.704944670446067
100284,1,1,17,2,S,1,2,1,1,2,3,2,3,1,1,4,1,1,3,3,1,1,1,2,1,1,2,1,1,1, , , ,1,1,1,1,1,20, ,5,1, ,100, ,30,2, ,1,2,4,1,4,1,1,1,1,4,2,4,1,2,3,1,3,4,4,2,1,2,2,1,1,2,4,1,2,2,2,8,2,8,2,1,1,2,2,5, ,3,5,1,125,1,9,9,5,2,3,3,3,1,1,1,1,1,1,1,2,1,2,1, ,1,2,2,1,59,2,5,4,2,2, ,1,9, ,2, , ,60089,2.875,.939926227261423
100289,1,1,5,3,R,1,2,3,5,2,2,2,2,1,2,3,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2, ,1,1,2,2,2, , , , , ,997, , ,0, ,4,4,2,4,4,4,4,4,4,4,1,2,2,2,2,2,2, , ,4,3,2,2,2,2, , , ,3,1,5,3, , ,2,2,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80,2,4,2,3,2, ,1,3, ,2, , ,71953,1.8125,.592562186751767
100298,1,1,53,4,R,2,2,2,1,1,2,3,3,2,2,4,2,2,3,3,1,1,1,1,2,2,2,1,2,1, , , ,1,1,1,1,2, , , , , ,5, ,3, , ,1,2,1,1,1,1,1,1,1,1,1,1,2,3,4,2,2,2, ,2,4,2,2,2,2,2, ,1,1,2,2,2,2, ,2,1,1,1,2, , ,5, ,2,350,2, , ,5,2,2,2,2,1,1,1,2,1,2,2,1,2,3,3,3,3,3,3,3,42,3,3,4,4,2, ,1,5, ,2, , ,99169,3.9375,1.28729026777108
